"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","location/lat","location/lng","neighborhood","permanentlyClosed","placeId","postalCode","price","rank","reviewsCount","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url"
"Turu 37, 50106 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","1761466600769601975","Tartu","EE","0x46eb37b41fe9911d:0x1871fc8a6e9641b7",,"https://lh5.googleusercontent.com/p/AF1QipOZVRXMxIjZ34GBqG6aFpcqjtYx6Q0g9FLEneyz=w408-h272-k-no","false","58.3606491","26.7399101",,"false","ChIJHZHpH7Q360YRt0GWbor8cRg","50106","€1–10","1","109","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Turu 37","false","KEBAB STOP TURU","4.7","https://www.google.com/maps/search/?api=1&query=KEBAB%20STOP%20TURU&query_place_id=ChIJHZHpH7Q360YRt0GWbor8cRg"
"Turu 37, 50106 Tartu, Estonia","Asian restaurant",,,,,,,"Asian restaurant","6874302285362970043","Tartu","EE","0x46eb379dcfc7236f:0x5f666d81c5b73dbb",,"https://lh5.googleusercontent.com/p/AF1QipND4bXcBDdzxDZ4yOOAfZq-3--4BqtInR05PLJk=w426-h240-k-no","false","58.3605944","26.7395558",,"false","ChIJbyPHz50360YRuz23xYFtZl8","50106","€10–20","2","100","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Turu 37","false","WOK STOP","4.4","https://www.google.com/maps/search/?api=1&query=WOK%20STOP&query_place_id=ChIJbyPHz50360YRuz23xYFtZl8"
"Ülikooli 11, 51003 Tartu, Estonia","Cafe","Breakfast restaurant",,,,,,"Cafe","200465234080970107","Tartu","EE","0x46eb36e12bc5b291:0x2c832117b36357b",,"https://lh5.googleusercontent.com/p/AF1QipOQ7sjR4tjwaZRBhJmsGCN4sPf1uTwaso7GIKn3=w408-h271-k-no","false","58.3805181","26.7209742",,"false","ChIJkbLFK-E260YRezU2exEyyAI","51003","€1–10","1","2251","https://www.google.com/maps/search/restaurant/@58.39938681340057,26.72825367897867,17z?hl=en","restaurant",,"Ülikooli 11","false","Cafe-restaurant Werner","4.6","https://www.google.com/maps/search/?api=1&query=Cafe-restaurant%20Werner&query_place_id=ChIJkbLFK-E260YRezU2exEyyAI"
"Turu 34b, 51004 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","16226342949754359373","Tartu","EE","0x46eb378ffa49e5e9:0xe12f8cf123c5ce4d",,"https://lh5.googleusercontent.com/p/AF1QipMrUgk-b85jENUINquECNIZsCPIyoWsgFeXJRDW=w426-h240-k-no","false","58.3558197","26.7416476",,"false","ChIJ6eVJ-o8360YRTc7FI_GML-E","51004","€1–10","3","37","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Turu 34b","false","Restoran 2Pipart","4.5","https://www.google.com/maps/search/?api=1&query=Restoran%202Pipart&query_place_id=ChIJ6eVJ-o8360YRTc7FI_GML-E"
"Rüütli 7, 51007 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","388988969335625430","Tartu","EE","0x46eb3702000c935d:0x565f7681acb96d6",,"https://lh5.googleusercontent.com/p/AF1QipNyeMVAkXYR24x6bNLY4lHcvcWAr994GuduV3aH=w408-h616-k-no","false","58.380725","26.7222505",,"false","ChIJXZMMAAI360YR1pbLGmj3ZQU","51007","££","2","352","https://www.google.com/maps/search/restaurant/@58.39938681340057,26.72825367897867,17z?hl=en","restaurant",,"Rüütli 7","false","Pompei","4.6","https://www.google.com/maps/search/?api=1&query=Pompei&query_place_id=ChIJXZMMAAI360YR1pbLGmj3ZQU"
"Küütri 3, 51007 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","2935878713262264899","Tartu","EE","0x46eb36e6d45d923d:0x28be56227fa0d243",,"https://lh5.googleusercontent.com/p/AF1QipNF8Mlfgn7W-vN23DuYuiL6gJHXNVUJDmXdj2q-=w408-h306-k-no","false","58.380884","26.7214445",,"false","ChIJPZJd1OY260YRQ9KgfyJWvig","51007","£££","3","692","https://www.google.com/maps/search/restaurant/@58.39938681340057,26.72825367897867,17z?hl=en","restaurant",,"Küütri 3","false","Chez Andre","4.6","https://www.google.com/maps/search/?api=1&query=Chez%20Andre&query_place_id=ChIJPZJd1OY260YRQ9KgfyJWvig"
"Tähe 21, 51013 Tartu, Estonia","Restaurant","Chicken restaurant","Chicken shop","Wine bar",,,,"Restaurant","4249055875746479534","Tartu","EE","0x46eb37d5a8cd8b87:0x3af7adce78a7bdae",,"https://lh5.googleusercontent.com/p/AF1QipNdsuIwxfRedAI73Y8UOGbRr5UVnXJ_KDT1VD2x=w408-h306-k-no","false","58.3699873","26.7274364",,"false","ChIJh4vNqNU360YRrr2neM6t9zo","51013","€10–20","4","164","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Tähe 21","false","NOKK","4.8","https://www.google.com/maps/search/?api=1&query=NOKK&query_place_id=ChIJh4vNqNU360YRrr2neM6t9zo"
"Ülikooli 14, 51003 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","8016319505237579170","Tartu","EE","0x46eb36e0c4ee94b1:0x6f3fb01e23b895a2",,"https://lh5.googleusercontent.com/p/AF1QipP--BYrNGdpufYWZo32TzpCJtYPJ1wP6ZmfsvAM=w408-h306-k-no","false","58.3795318","26.7217236",,"false","ChIJsZTuxOA260YRopW4Ix6wP28","51003",,"4","308","https://www.google.com/maps/search/restaurant/@58.39938681340057,26.72825367897867,17z?hl=en","restaurant",,"Ülikooli 14","false","Restoran Hõlm","4.8","https://www.google.com/maps/search/?api=1&query=Restoran%20H%C3%B5lm&query_place_id=ChIJsZTuxOA260YRopW4Ix6wP28"
"Tähe 29, 50103 Tartu, Estonia","Pizza restaurant","Bar",,,,,,"Pizza restaurant","9231264317978017095","Tartu","EE","0x46eb3700290ab82f:0x801c09fce4d17d47",,"https://lh5.googleusercontent.com/p/AF1QipNALdAFSDUFtzRTFQAO5sld7K_RJ4U4R0XXapS7=w408-h306-k-no","false","58.3698255","26.7276466",,"false","ChIJL7gKKQA360YRR33R5PwJHIA","50103","€10–20","5","24","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Tähe 29","false","Metsik Pizza","4.8","https://www.google.com/maps/search/?api=1&query=Metsik%20Pizza&query_place_id=ChIJL7gKKQA360YRR33R5PwJHIA"
"Kalda tee 1c, 50703 Tartu, Estonia","American restaurant","Amusement Centre","Bowling club","Events Venue","Cinema","Snooker and Pool Club","Sports bar","American restaurant","1456000768042059875","Tartu","EE","0x46eb3702cedb71b3:0x1434c0fbfbd7c863",,"https://lh5.googleusercontent.com/p/AF1QipNKZb6GzuldUx5HFPSbpYn9VhvlBAhuIRHzK_Cb=w408-h272-k-no","false","58.3729966","26.7503444",,"false","ChIJs3HbzgI360YRY8jX-_vANBQ","50703","€10–20","6","749","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.762555047149345,17z?hl=en","restaurant",,"Kalda tee 1c","false","O'Learys Eeden","4.1","https://www.google.com/maps/search/?api=1&query=O'Learys%20Eeden&query_place_id=ChIJs3HbzgI360YRY8jX-_vANBQ"
